report_id,company,role,location,interview_date_or_year,outcome,source_name,source_url
AMZ001,Amazon,SDE-1,India,25-01-2025,Rejected,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde1-fresher-off-campus/
AMZ002,Amazon,SDE-1,India,2025,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-14/
AMZ003,Amazon,SDE-1,India,2025,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-21/
AMZ004,Amazon,SDE-1,India,2025,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-20/
AMZ005,Amazon,SDE-1,India,2025,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-13/
AMZ006,Amazon,SDE-1,India,2025,Got offer,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-25/
AMZ007,Amazon,SDE-1,India,2025,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde1-off-campus/
AMZ008,Amazon,SDE-1,India,2025,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-off-campus/
AMZ009,Amazon,SDE-1,India,2025,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-on-campus/
AMZ010,Amazon,SDE-1,India,2024,Selected,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-34/
AMZ011,Amazon,SDE-1,India,2022,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-26/
AMZ013,Amazon,SDE-1,India,2021,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-10/
AMZ014,Amazon,SDE-1,India,2021,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-9/
AMZ015,Amazon,SDE-1,India,2021,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-29/
AMZ016,Amazon,SDE-1,India,2021,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-16/
AMZ017,Amazon,SDE-1,India,2021,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-17/
AMZ018,Amazon,SDE-1,India,2021,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-18/
AMZ019,Amazon,SDE-1,India,2022,Selected,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-30/
AMZ020,Amazon,SDE-1,India,2022,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-31/
AMZ021,Amazon,SDE-1,India,2023,Got offer,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-32/
AMZ022,Amazon,SDE-1,India,2023,Selected,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-33/
