report_id,company,role,location,interview_date_or_year,rounds,questions_topics,outcome,source_name,source_url,report_unit
AMZ001,Amazon,SDE-1,India,25-01-2025,OA; Round 1; Round 2,OA: 2 coding questions + Workstyle. Round 1: Burning Tree; Overlapping Intervals. Round 2: behavioral + Parking Lot design.,Rejected,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde1-fresher-off-campus/,one independent candidate experience
AMZ002,Amazon,SDE-1,India,2025,OA; Round 1+,"OA: Maximum Units on a Truck + behavioral. Round 1: project discussion, Leadership Principles, technical questions.",Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-14/,one independent candidate experience
AMZ003,Amazon,SDE-1,India,2025,OA; 4 interviews,"5 rounds total. Algorithms/DSA round: Gas Station, binary-tree leaves, right view. Round 2: bottom view BFS/DFS.",Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-21/,one independent candidate experience
AMZ004,Amazon,SDE-1,India,2025,OA; Technical interview,"OA: two coding problems, including Demolition Robot and a priority-queue problem. Technical interview: Meeting Rooms II; Top K Frequent Elements.",Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-20/,one independent candidate experience
AMZ005,Amazon,SDE-1,India,2025,OA; Technical rounds,OA: two coding scenarios + workstyle. Topics include Optimal Merge Pattern/min-heap and grid shortest path; subsequent interviews discussed DSA/technical topics.,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-13/,one independent candidate experience
AMZ006,Amazon,SDE-1,India,2025,OA; Technical interviews,"OA: two coding questions. Interview Round 1: Copy List with Random Pointer; Validate BST variant. Full-time SDE-1, on-campus.",Got offer,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-25/,one independent candidate experience
AMZ007,Amazon,SDE-1,India,2025,OA; Technical rounds,Off-campus SDE-1. Technical Round 1: Sliding Window Maximum plus follow-up and Leadership Principles questions.,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde1-off-campus/,one independent candidate experience
AMZ008,Amazon,SDE-1,India,2025,Written test; 4 technical rounds,"Written coding test: Reverse Linked List and Sliding Window Maximum. Four technical rounds covering coding, problem solving, algorithms, data structures, CS fundamentals and Leadership Principles.",Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-off-campus/,one independent candidate experience
AMZ009,Amazon,SDE-1,India,2025,OA; interviews,OA: Maximum Units on a Truck and Minimum Platforms. Interview: Palindrome Linked List; minimum steps/shortest path for a knight; further variations.,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-on-campus/,one independent candidate experience
AMZ010,Amazon,SDE-1,India,2024,OA; 3 interviews,"Four rounds total: OA plus 3 interviews. OA topics: arrays/binary search and sorting by condition. Interview topics included algorithms/DSA, CS fundamentals and hiring-manager discussion.",Selected,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-34/,one independent candidate experience
AMZ011,Amazon,SDE-1,India,2022,OA; 4 interviews,OA: greedy and dynamic programming coding questions + Leadership Principles. Rounds 1-4 each combined DSA with CS concepts.,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-26/,one independent candidate experience
AMZ012,Amazon,SDE-1,India,2021,OA; F2F technical,"OA: two coding problems, including Demolition Robot and a priority-queue problem. F2F: Meeting Rooms II; Top K Frequent Elements.",Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-20/,one independent candidate experience
AMZ013,Amazon,SDE-1,India,2021,OA; Technical rounds,Five-round process. Technical phone screen included resume/project discussion and a heap-based scheduling problem; onsite rounds followed.,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-10/,one independent candidate experience
AMZ014,Amazon,SDE-1,India,2021,OA; Technical rounds,"OA had debugging, workstyle, reasoning and coding. Coding: Merge Two Sorted Lists and Clone Linked List with Random Pointer. Interview: Trapping Rainwater and Reverse Linked List.",Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-9/,one independent candidate experience
AMZ015,Amazon,SDE-1,India,2021,OA; interviews,OA: two array-based coding problems. Technical interviews followed; candidate reports the interview schedule in March 2021.,Unknown,GeeksforGeeks,https://www.geeksforgeeks.org/interview-experiences/amazon-interview-experience-for-sde-1-29/,one independent candidate experience
