report_id,round,round_type,question_text,topic,needs_review,review_reason
AMZ001,OA,OA,nan,2 coding questions,True,OA mentions 2 coding questions without specific problem names
AMZ001,OA,behavioral,nan,Workstyle,False,nan
AMZ001,Round 1,technical,Burning Tree,nan,False,nan
AMZ001,Round 1,technical,Overlapping Intervals,nan,False,nan
AMZ001,Round 2,behavioral,nan,behavioral,False,nan
AMZ001,Round 2,system_design,Parking Lot design,nan,False,nan
AMZ002,OA,OA,Maximum Units on a Truck,nan,False,nan
AMZ002,OA,behavioral,nan,behavioral,False,nan
AMZ002,Round 1,behavioral,nan,project discussion,False,nan
AMZ002,Round 1,behavioral,nan,Leadership Principles,False,nan
AMZ002,Round 1,technical,nan,technical questions,True,Mentions technical questions generally without specific problem names
AMZ003,Algorithms/DSA round,technical,Gas Station,nan,False,nan
AMZ003,Algorithms/DSA round,technical,binary-tree leaves,nan,False,nan
AMZ003,Algorithms/DSA round,technical,right view,nan,False,nan
AMZ003,Round 2,technical,bottom view BFS/DFS,nan,False,nan
AMZ004,OA,OA,Demolition Robot,nan,False,nan
AMZ004,OA,OA,nan,priority-queue problem,True,Mentions priority-queue problem without exact problem title
AMZ004,Technical interview,technical,Meeting Rooms II,nan,False,nan
AMZ004,Technical interview,technical,Top K Frequent Elements,nan,False,nan
AMZ005,OA,OA,Optimal Merge Pattern/min-heap,nan,False,nan
AMZ005,OA,OA,grid shortest path,nan,False,nan
AMZ005,OA,behavioral,nan,workstyle,False,nan
AMZ005,Technical rounds,technical,nan,DSA/technical topics,True,General mention of subsequent technical interviews without specific question details
AMZ006,OA,OA,nan,two coding questions,True,OA mentions two coding questions without specific problem names
AMZ006,Interview Round 1,technical,Copy List with Random Pointer,nan,False,nan
AMZ006,Interview Round 1,technical,Validate BST variant,nan,False,nan
AMZ007,Technical Round 1,technical,Sliding Window Maximum,nan,False,nan
AMZ007,Technical Round 1,technical,nan,Sliding Window Maximum follow-up,True,Mentions follow-up question to Sliding Window Maximum without details
AMZ007,Technical Round 1,behavioral,nan,Leadership Principles questions,False,nan
AMZ008,Written coding test,OA,Reverse Linked List,nan,False,nan
AMZ008,Written coding test,OA,Sliding Window Maximum,nan,False,nan
AMZ008,Four technical rounds,technical,nan,"coding, problem solving, algorithms, data structures",True,High-level summary of four technical rounds without specific problem names
AMZ008,Four technical rounds,technical,nan,CS fundamentals,False,nan
AMZ008,Four technical rounds,behavioral,nan,Leadership Principles,False,nan
AMZ009,OA,OA,Maximum Units on a Truck,nan,False,nan
AMZ009,OA,OA,Minimum Platforms,nan,False,nan
AMZ009,Interview,technical,Palindrome Linked List,nan,False,nan
AMZ009,Interview,technical,minimum steps/shortest path for a knight,nan,False,nan
AMZ009,Interview,technical,nan,further variations,True,Vague mention of further variations without specific question details
AMZ010,OA,OA,nan,arrays/binary search,False,nan
AMZ010,OA,OA,nan,sorting by condition,False,nan
AMZ010,3 interviews,technical,nan,algorithms/DSA,True,Broad topic summary across 3 interviews without specific questions
AMZ010,3 interviews,technical,nan,CS fundamentals,False,nan
AMZ010,3 interviews,behavioral,nan,hiring-manager discussion,False,nan
AMZ011,OA,OA,nan,greedy and dynamic programming coding questions,True,General mention of greedy and dynamic programming questions without exact problem names
AMZ011,OA,behavioral,nan,Leadership Principles,False,nan
AMZ011,Rounds 1-4,mixed,nan,DSA with CS concepts,True,High-level summary of Rounds 1-4 combining DSA and CS concepts without specific questions
